LAST SEEN   TYPE      REASON                       OBJECT                                           MESSAGE
34m         Normal    ScalingReplicaSet            deployment/vllm-router                           Scaled up replica set vllm-router-5b54cf7794 from 0 to 1
34m         Normal    Started                      pod/vllm-router-5b54cf7794-n685d                 Container started
34m         Normal    ScalingReplicaSet            deployment/vllm-router                           Scaled down replica set vllm-router-7bb55667c9 from 1 to 0
34m         Normal    SuccessfulDelete             replicaset/vllm-router-7bb55667c9                Deleted pod: vllm-router-7bb55667c9-kt7bj
34m         Normal    Pulled                       pod/vllm-router-5b54cf7794-n685d                 Container image "nginx:1.29.1-alpine" already present on machine and can be accessed by the pod
34m         Normal    Created                      pod/vllm-router-5b54cf7794-n685d                 Container created
34m         Warning   Unhealthy                    pod/vllm-router-5b54cf7794-n685d                 Readiness probe failed: dial tcp 10.42.0.76:8080: connect: connection refused
34m         Normal    Killing                      pod/vllm-router-7bb55667c9-kt7bj                 Stopping container router
34m         Warning   Unhealthy                    pod/vllm-router-7bb55667c9-kt7bj                 Readiness probe failed: dial tcp 10.42.0.74:8080: connect: connection refused
34m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-bh5sx
34m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-bh5sx                   Container created
34m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-bh5sx                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
34m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-bh5sx                   Container started
33m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-bh5sx                   Startup probe failed: Get "http://10.42.0.77:8000/health": dial tcp 10.42.0.77:8000: connect: connection refused
32m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-bh5sx                   Stopping container vllm
32m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-bh5sx
32m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-hbn97
32m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-hbn97                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
32m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-hbn97                   Container created
32m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-hbn97                   Container started
31m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-hbn97                   Startup probe failed: Get "http://10.42.0.78:8000/health": dial tcp 10.42.0.78:8000: connect: connection refused
31m         Normal    SuccessfulCreate             replicaset/vllm-router-6c659c7968                Created pod: vllm-router-6c659c7968-l69r6
31m         Normal    ScalingReplicaSet            deployment/vllm-router                           Scaled up replica set vllm-router-6c659c7968 from 0 to 1
30m         Warning   Unhealthy                    pod/vllm-router-6c659c7968-l69r6                 Readiness probe failed: dial tcp 10.42.0.79:8080: connect: connection refused
30m         Normal    Started                      pod/vllm-router-6c659c7968-l69r6                 Container started
30m         Normal    Created                      pod/vllm-router-6c659c7968-l69r6                 Container created
30m         Normal    Pulled                       pod/vllm-router-6c659c7968-l69r6                 Container image "nginx:1.29.1-alpine" already present on machine and can be accessed by the pod
30m         Normal    SuccessfulDelete             replicaset/vllm-router-5b54cf7794                Deleted pod: vllm-router-5b54cf7794-n685d
30m         Normal    Killing                      pod/vllm-router-5b54cf7794-n685d                 Stopping container router
30m         Normal    ScalingReplicaSet            deployment/vllm-router                           Scaled down replica set vllm-router-5b54cf7794 from 1 to 0
30m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-hbn97                   Stopping container vllm
30m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-hbn97
30m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-hbn97                   Readiness probe failed: Get "http://10.42.0.78:8000/health": dial tcp 10.42.0.78:8000: connect: connection refused
30m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-74nzj
30m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-74nzj                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
30m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-74nzj                   Container created
30m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-74nzj                   Container started
29m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-74nzj                   Startup probe failed: Get "http://10.42.0.80:8000/health": dial tcp 10.42.0.80:8000: connect: connection refused
28m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-74nzj
28m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-74nzj                   Readiness probe failed: Get "http://10.42.0.80:8000/health": read tcp 10.42.0.1:58696->10.42.0.80:8000: read: connection reset by peer
28m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-74nzj                   Stopping container vllm
28m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-lkpkn
28m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-lkpkn                   Container created
28m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-lkpkn                   Container started
28m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-lkpkn                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
27m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-lkpkn                   Startup probe failed: Get "http://10.42.0.81:8000/health": dial tcp 10.42.0.81:8000: connect: connection refused
26m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-lkpkn
26m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-lkpkn                   Stopping container vllm
26m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-6vjlz
26m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-6vjlz                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
26m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-6vjlz                   Container created
26m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-6vjlz                   Container started
25m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-6vjlz                   Startup probe failed: Get "http://10.42.0.82:8000/health": dial tcp 10.42.0.82:8000: connect: connection refused
23m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-6vjlz                   Stopping container vllm
23m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-6vjlz
23m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-6vjlz                   Readiness probe failed: Get "http://10.42.0.82:8000/health": dial tcp 10.42.0.82:8000: connect: connection refused
23m         Normal    SuccessfulCreate             replicaset/vllm-int4-6fdd7c4c4f                  Created pod: vllm-int4-6fdd7c4c4f-84br4
23m         Normal    Created                      pod/vllm-int4-6fdd7c4c4f-84br4                   Container created
23m         Normal    Pulled                       pod/vllm-int4-6fdd7c4c4f-84br4                   Container image "vllm/vllm-openai:v0.17.0" already present on machine and can be accessed by the pod
23m         Normal    Started                      pod/vllm-int4-6fdd7c4c4f-84br4                   Container started
23m         Warning   Unhealthy                    pod/vllm-int4-6fdd7c4c4f-84br4                   Startup probe failed: Get "http://10.42.0.83:8000/health": dial tcp 10.42.0.83:8000: connect: connection refused
21m         Normal    SuccessfulDelete             replicaset/vllm-int4-6fdd7c4c4f                  Deleted pod: vllm-int4-6fdd7c4c4f-84br4
21m         Normal    Killing                      pod/vllm-int4-6fdd7c4c4f-84br4                   Stopping container vllm
